Time;A_x;A_y;B_x;B_y;C_x;C_y
0;500;500;500;720;500;941
1.5153;500;500;500;720;500;941
2.485;500;500;681;629.4;886.8;706.9
3.4499;500;500;704.3;400;923.2;394.7
4.4299;500;500;725.7;493.6;942.7;472.4
5.3972;500;500;340.2;338.3;190.8;505.9
6.3603;500;500;558.6;279.9;418;455.5
7.3288;500;500;431.7;282.8;382.2;502.1
8.3055;500;500;619.2;686.7;835.4;631.7
9.2718;500;500;624.4;682.7;766.9;849.4
10.2377;500;500;652.3;332.3;869.5;379
11.6897;500;500;556.6;712.9;762.7;795.7
13.1393;500;500;284.9;431.1;169.5;243.6
14.1871;500;500;650.9;662.7;424;668.7
15.2172;500;500;327.2;640.8;173;797.8
16.3695;500;500;507.7;720.6;354.3;553.8
17.4936;500;500;569.9;709.3;593.6;928.2
18.5013;500;500;527.6;718.6;673.6;885.1
19.5401;500;500;446;713.7;223.9;747.3
20.6499;500;500;598.4;697.5;815.5;742.9
21.7558;500;500;436.6;711.1;240.8;818.6
22.8016;500;500;607.6;693.1;820.1;756.1
23.7926;500;500;275.9;491.9;87.2;377.8
24.8268;500;500;691.9;613.9;475.2;682.7
25.8119;500;500;669.6;643.9;812.1;471.4
26.9774;500;500;720.2;542.8;706.8;319.3
28.3094;500;500;285.2;429.2;192.9;230.5
29.6109;500;500;274.8;486.8;304.1;708.8
30.9437;500;500;662.5;340.7;481;210.7
32.1956;500;500;594.7;293.4;497.4;97.9
33.1806;500;500;718.9;440.5;502;373.6
34.1851;500;500;523.9;719.1;718.9;605.2
35.1714;500;500;276.7;471.1;82.9;577.2
36.1535;500;500;725;493.1;942.5;476.4
37.1555;500;500;278.4;533.8;320.2;313.5
38.1608;500;500;287;568;104.8;691.6
39.1487;500;500;422.8;706.1;435.3;926.7
40.1456;500;500;475.6;718.7;490;937.8
41.1802;500;500;322.7;358.8;145.9;233
42.2941;500;500;374.3;310.6;372.7;94.1
43.2619;500;500;568.8;283.8;788.9;249.1
44.2749;500;500;376.3;309.8;500.3;125.8
45.2782;500;500;276.1;517.4;180.8;719.3
46.2762;500;500;697.7;603.4;654.7;382.9
47.3025;500;500;584.9;703.4;429.2;539.6
48.307;500;500;325.2;637.3;387.9;851.7
49.3027;500;500;656.6;656;824.2;506.8
50.3169;500;500;333.3;645.8;124.5;567.4
51.3181;500;500;558.3;711.9;675;898.7
52.3457;500;500;275.6;505;221.2;289.5
53.3372;500;500;314.7;622.7;295;844.3
54.3364;500;500;477;718.7;445.7;494.7
55.3329;500;500;413.1;702.9;557.5;528.9
56.347;500;500;327.8;640.4;218.3;831.2
57.366;500;500;278.8;535.2;59.7;552.3
58.4418;500;500;723.1;464.1;719.7;688.2
59.534;500;500;277.3;529;495.9;468.7
60.609;500;500;695;608.2;468.8;611.7
61.6401;500;500;422.1;705.9;205.9;761.7
62.6265;500;500;618.5;685.7;718.8;881.7
63.6449;500;500;508;719.3;343.4;869.3
64.6322;500;500;504.1;720.2;440.7;504.3
65.6616;500;500;358.8;670.9;139.3;701.1
66.6737;500;500;724.8;483.6;667.3;701.9
67.6693;500;500;700.9;395.6;484.5;457.3
68.6939;500;500;722.1;530.7;903.8;408.5
69.6868;500;500;664.8;647.9;855.4;533
70.6865;500;500;480.2;718.6;512.8;936.2
71.7042;500;500;642.3;323.7;739.5;525.9
72.6832;500;500;722.1;464.1;637.6;257.2
73.6701;500;500;355;668.2;503.3;497.5
74.7873;500;500;641;668.9;763.3;851.8
75.8427;500;500;378.4;683.5;378.6;905.5
76.8486;500;500;707.4;582.5;915.9;648.6
77.849;500;500;305.9;609.5;98.3;682.7
78.8459;500;500;439.4;710.3;238.3;810.3
79.8179;500;500;689.7;375.3;621.1;589.2
80.8069;500;500;720;542.8;507.9;466.5
81.8369;500;500;632.5;677;675.2;455.5
82.8579;500;500;723.8;484.1;524.1;379
83.9655;500;500;277.1;463.4;495.9;516.6
84.9298;500;500;339;652.3;337.5;873.6
85.9767;500;500;719;547.6;498;503.3
86.9889;500;500;335.3;649.4;554.5;704.1
88.0232;500;500;436.2;711.1;472.2;928.5
89.005;500;500;484.7;719;374;911.1
90.0382;500;500;480.6;718.7;293.6;840.5
91.0237;500;500;567.9;709.6;596.7;485.5
92.055;500;500;422.2;706;199.4;682
93.0518;500;500;480.3;718.9;696.7;655.6
94.134;500;500;475.5;718;270.7;808.3
95.1315;500;500;472.8;717.6;397.9;925.5
96.18;500;500;603.6;694;589.5;915.5
97.1926;500;500;404.2;698;339.2;909.2
98.2474;500;500;590.8;700.2;685.5;898.9
99.3196;500;500;418.7;704.5;368.9;919.5
100.3702;500;500;576.5;706;646.5;914.9
101.4207;500;500;430.6;709.2;335.5;907.8
102.4702;500;500;560.5;711.2;672.6;900.7
103.5198;500;500;459.9;715.8;359.9;913.3
104.5927;500;500;540.5;715.8;634.8;915.7
